-620.922,-11067.185,5934.613
-626.366,-11161.027,5934.613
-632.522,-11255.827,5934.613
-639.905,-11349.536,5934.613
-648.294,-11443.161,5934.646
-656.609,-11536.792,5934.678
-664.575,-11631.457,5934.678
-672.4,-11726.134,5934.604
-679.063,-11819.896,5934.53
-684.499,-11913.739,5934.456
-689.338,-12008.615,5934.415
-694.201,-12102.489,5934.415
-699.423,-12196.343,5934.054
-704.572,-12290.201,5933.652
-709.666,-12383.061,5933.611
-715.462,-12476.881,5933.644
-720.666,-12571.736,5933.644
-723.946,-12665.67,5932.561
-727.66,-12759.571,5930.47
-733.029,-12853.4,5928.706
-739.258,-12948.185,5927.288
-743.654,-13012.93,5926.39
-744.482,-13025.001,5926.227
-747.086,-13062.908,5925.716
